  -3.1415927e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  -3.1415927e+00   4.2878515e-11  -1.6745910e-05   5.0237729e-05
  -3.1415927e+00   1.7151406e-10  -3.3491819e-05   1.0047546e-04
  -3.1415927e+00   3.8590663e-10  -5.0237729e-05   1.5071319e-04
  -3.1415927e+00   6.8605624e-10  -6.6983638e-05   2.0095091e-04
  -3.1415927e+00   3.4731597e-09  -1.5071319e-04   4.5213956e-04
  -3.1415927e+00   8.4041889e-09  -2.3444273e-04   7.0332820e-04
  -3.1415927e+00   1.5479144e-08  -3.1817228e-04   9.5451684e-04
  -3.1415927e+00   2.4698024e-08  -4.0190183e-04   1.2057055e-03
  -3.1415927e+00   1.0295131e-07  -8.2054957e-04   2.4616487e-03
  -3.1415927e+00   2.3480275e-07  -1.2391973e-03   3.7175919e-03
  -3.1415928e+00   4.2025232e-07  -1.6578450e-03   4.9735351e-03
  -3.1415929e+00   6.5930004e-07  -2.0764928e-03   6.2294784e-03
  -3.1415935e+00   2.6585108e-06  -4.1697315e-03   1.2509194e-02
  -3.1415947e+00   5.9976751e-06  -6.2629702e-03   1.8788911e-02
  -3.1415962e+00   1.0676793e-05  -8.3562089e-03   2.5068627e-02
  -3.1415982e+00   1.6695865e-05  -1.0449448e-02   3.1348343e-02
  -3.1416150e+00   6.6890526e-05  -2.0915641e-02   6.2746923e-02
  -3.1416428e+00   1.5058403e-04  -3.1381834e-02   9.4145502e-02
  -3.1416819e+00   2.6777636e-04  -4.1848025e-02   1.2554408e-01
  -3.1417321e+00   4.1846753e-04  -5.2314212e-02   1.5694264e-01
  -3.1421508e+00   1.6744010e-03  -1.0464479e-01   3.1393466e-01
  -3.1428486e+00   3.7677998e-03  -1.5697384e-01   4.7092321e-01
  -3.1438255e+00   6.6986197e-03  -2.0929749e-01   6.2789952e-01
  -3.1450815e+00   1.0466748e-02  -2.6160848e-01   7.8484708e-01
  -3.1523420e+00   3.2254102e-02  -4.5889355e-01   1.3770636e+00
  -3.1635713e+00   6.5961187e-02  -6.5423377e-01   1.9648616e+00
